n,Ko,E,T,K
5,9223409863547740,249.709999999987,923,68.0349689184554
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,1.88E+17,249.709999999987,9.23E+02,1.39E+03
6,68742898218637800,249.709999999987,923,507.070705179593
5,8426930853577480,249.709999999987,923,62.1598722362957
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,2.12E+17,249.709999999987,9.23E+02,1.57E+03
6,2.58E+17,249.709999999987,9.23E+02,1.90E+03
5,33809061633104800,249.709999999987,923,249.386993682363
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,1.86E+17,249.709999999987,9.23E+02,1.37E+03
6,74518567522699700,249.709999999987,923,549.673981776691
5,9159931144024310,249.709999999987,923,67.5667285633533
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,3.33E+17,249.709999999987,9.23E+02,2.46E+03
6,1.18E+18,249.709999999987,9.23E+02,8.70E+03
5,55786592450753600,249.709999999987,923,411.500642344182
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,80059219544751100,244.857572887623,923,1111.40330969708
6,35445093399342900,230.533960514382,923,3181.64033055527
5,1205309095965620,239.548436327989,923,33.4214712394274
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,3.35E+17,249.709999999987,9.23E+02,2.47E+03
6,1.18E+18,249.709999999987,9.23E+02,8.70E+03
5,55799101557817200,249.709999999987,923,411.592913719179
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
3,1690280103365.52,240,953,0.105314110437751
3,1925541867244.98,241,953,0.105314110437751
3,1925541867244.98,241,953,0.105314110437751
3,2193548557502.9,242,953,0.105314110437751
3,2498857779190.97,243,953,0.105314110437751
3,2846661487964.34,244,953,0.105314110437751
3,3242874282218.24,245,953,0.105314110437751
3,3694233984172.32,246,953,0.105314110437751
3,4208416220340.96,247,953,0.105314110437751
3,4794164949894.71,248,953,0.105314110437751
3,5461441160621.88,249,953,0.105314110437751
3,6221592261148.63,250,953,0.105314110437751
4,1523572890642.43,240,953,189.498615456418
4,1735631498525.1,241,953,189.498615456418
4,1977205499765.92,242,953,189.498615456418
4,2252402996619.2,243,953,189.498615456418
4,2565903877861.85,244,953,189.498615456418
4,2923039402943.74,245,953,189.498615456418
4,3329882863064.01,246,953,189.498615456418
4,3793352860916.22,247,953,189.498615456418
4,4321330965432.4,248,953,189.498615456418
4,4922795742311.86,249,953,189.498615456418
4,5607975439599.05,250,953,189.498615456418
6,27230294564607500,240,953,1982.88439936341
6,31020345170700000,241,953,1982.88439936341
6,35337914256721800,242,953,1982.88439936341
6,40256424522152900,243,953,1982.88439936341
