n,E,Ko,T,K
6,248,55011261986346300,972,2585.91087808232
5,248,6743621711330310,973,327.154441404561
4,248,4321330965432.4,973,0.20964144767269
3,248,4794164949894.71,973,0.23258012138328
7,249,1.72E+17,973,7361.08562998808
6,249,62668008641751900,973,2686.70179271539
5,249,7682233208669970,974,339.927049829521
4,249,4922795742311.86,974,0.21782616957122
3,249,5461441160621.88,974,0.241660404093503
7,250,1.96E+17,974,7649.44442070503
6,250,71390460158820500,974,2791.94905091985
5,250,8751485418174440,975,353.264992017664
4,250,5607975439599.05,975,0.226373158868666
3,250,6221592261148.63,975,0.251142592994265
7,240,6.00E+16,975,8310.09224170588
